a,b,c,class
7.5696,-6.5784,10.0287,1
7.8476,-6.089,9.9328,1
7.8715,-5.9409,9.8618,1
7.3771,-6.2675,9.68,1
7.7134,-6.6998,10.2168,1
7.4043,-6.6141,9.9282,1
6.9773,-6.3357,9.4246,1
7.8103,-6.1775,9.958,1
6.8996,-6.4567,9.4495,1
6.7966,-6.6221,9.4893,1
7.4078,-6.2648,9.7017,1
7.5857,-5.9686,9.6523,1
7.51,-6.295,9.7993,1
7.2561,-6.2487,9.5759,1
7.0833,-6.0651,9.3252,1
6.9221,-6.6639,9.6085,1
6.8196,-6.9065,9.706,1
7.304,-7.0199,10.1305,1
7.0361,-6.417,9.5228,1
7.3313,-6.1514,9.5701,1
7.4826,-6.4797,9.8983,1
6.9097,-6.7535,9.662,1
7.3305,-6.2441,9.6294,1
7.1655,-6.6784,9.7952,1
6.728,-6.8585,9.6075,1
6.6319,-7.1077,9.7212,1
7.2791,-6.2095,9.5678,1
6.4368,-6.4111,9.0849,1
6.7116,-6.7021,9.4849,1
6.4947,-6.3886,9.1102,1
6.9188,-7.1745,9.9671,1
6.631,-6.9782,9.6263,1
7.001,-7.0846,9.9602,1
6.6518,-7.3231,9.8931,1
6.7997,-6.5839,9.4649,1
6.8477,-6.438,9.3989,1
6.7188,-7.3303,9.9436,1
6.8415,-6.3491,9.3337,1
6.7062,-7.089,9.7584,1
6.9623,-6.7617,9.7054,1
6.9334,-7.4147,10.1513,1
6.2812,-6.5675,9.0877,1
6.971,-6.5875,9.5911,1
6.4736,-7.2301,9.7047,1
6.821,-7.009,9.7802,1
6.3474,-6.6478,9.1914,1
6.5351,-7.2115,9.7321,1
6.5383,-6.5908,9.2837,1
6.463,-6.8675,9.4304,1
6.7767,-6.6653,9.5053,1
6.6248,-6.5777,9.3356,1
6.4082,-7.0575,9.5328,1
5.9103,-7.1315,9.2623,1
6.5673,-7.3457,9.8534,1
6.2588,-7.4343,9.7181,1
5.7855,-6.8415,8.9598,1
6.7141,-6.9818,9.6863,1
6.6732,-7.1969,9.8146,1
6.5931,-7.4676,9.9616,1
5.7022,-7.3834,9.329,1
5.7515,-7.1607,9.1845,1
5.6592,-6.9643,8.9737,1
5.9525,-7.2481,9.3791,1
6.1169,-7.499,9.6774,1
5.7239,-7.7037,9.5974,1
6.1766,-7.1477,9.4467,1
6.3703,-7.1335,9.5639,1
6.0808,-7.3485,9.5382,1
6.0443,-7.4611,9.6022,1
6.1045,-7.6154,9.7601,1
5.8325,-7.04,9.1422,1
5.6984,-7.0972,9.1018,1
6.0271,-7.6391,9.7305,1
5.9129,-7.3273,9.4155,1
6.1603,-6.9407,9.2802,1
5.6102,-7.7885,9.5987,1
6.0835,-7.734,9.8399,1
6.267,-7.4969,9.7713,1
6.0062,-7.3495,9.4916,1
5.6102,-7.4582,9.3327,1
5.3616,-7.7158,9.3958,1
5.2983,-6.9879,8.7694,1
5.696,-7.1604,9.1496,1
5.3552,-7.2819,9.039,1
5.2052,-7.6348,9.2404,1
5.3832,-7.3305,9.0948,1
5.3247,-7.509,9.2053,1
5.2806,-7.9815,9.5702,1
5.8134,-8.0252,9.9096,1
5.6902,-7.9151,9.7482,1
5.5483,-7.7529,9.5337,1
5.382,-7.9684,9.6157,1
5.5639,-7.7356,9.5287,1
4.9767,-7.9887,9.4121,1
5.6309,-7.9809,9.7674,1
5.724,-7.5072,9.4405,1
4.995,-7.2018,8.7645,1
5.1857,-7.7858,9.3547,1
4.9872,-7.4449,8.961,1
5.6827,-7.5548,9.4535,1
5.2069,-7.4541,9.0926,1
4.803,-7.1772,8.636,1
4.9301,-7.1934,8.7207,1
5.1323,-8.0281,9.5284,1
4.7832,-7.8423,9.1859,1
5.2533,-7.6401,9.2719,1
4.7267,-7.8632,9.1745,1
4.8048,-7.3031,8.7419,1
5.2053,-7.3458,9.0031,1
5.2385,-7.8115,9.4054,1
5.2672,-8.0456,9.6164,1
4.7163,-7.9043,9.2044,1
4.7032,-7.7827,9.0934,1
5.0305,-7.9335,9.394,1
4.8417,-8.1221,9.4557,1
4.6014,-8.1465,9.3562,1
4.5031,-7.8818,9.0775,1
5.3323,-8.1446,9.7349,1
4.7682,-7.4377,8.8349,1
4.8769,-7.5161,8.9597,1
4.5954,-7.7881,9.0428,1
4.4864,-8.1391,9.2937,1
5.1477,-7.5126,9.107,1
4.6859,-7.9055,9.1899,1
4.1207,-8.0362,9.0311,1
4.5961,-7.9114,9.1496,1
4.7599,-7.7157,9.0658,1
4.7364,-7.459,8.8357,1
4.6276,-7.6411,8.9331,1
4.8408,-8.0362,9.3816,1
4.7716,-8.1446,9.4394,1
4.7422,-7.7364,9.0742,1
4.7821,-7.8154,9.1624,1
4.3262,-8.0648,9.1519,1
4.3538,-8.1241,9.2172,1
4.5794,-7.9042,9.1349,1
4.4586,-8.2937,9.4162,1
4.5463,-8.3642,9.5199,1
4.0926,-8.499,9.433,1
4.6629,-7.959,9.2243,1
4.5736,-7.5865,8.8585,1
3.8051,-8.3921,9.2145,1
4.6985,-8.0432,9.315,1
4.2739,-8.1304,9.1853,1
4.5352,-7.866,9.0798,1
4.2876,-7.9087,8.9962,1
4.145,-8.3993,9.3664,1
4.5784,-7.8192,9.061,1
3.7436,-7.986,8.8199,1
4.3695,-7.7805,8.9235,1
4.1383,-7.8371,8.8626,1
4.2981,-8.3624,9.4023,1
4.2301,-8.0744,9.1154,1
4.2659,-8.1527,9.2013,1
4.0031,-8.4279,9.3303,1
3.4627,-8.4454,9.1277,1
3.3632,-8.3141,8.9686,1
4.2899,-7.8805,8.9725,1
4.182,-7.9395,8.9736,1
3.9335,-8.1871,9.083,1
4.2015,-7.7263,8.7948,1
3.3087,-8.1178,8.7662,1
4.0091,-7.9273,8.8834,1
3.3784,-8.3536,9.0109,1
3.3776,-8.2206,8.8874,1
3.481,-7.9322,8.6624,1
3.4983,-7.7191,8.4748,1
3.8485,-8.3603,9.2036,1
3.1254,-8.7169,9.2603,1
3.0164,-8.6912,9.1998,1
3.6741,-7.9598,8.7668,1
3.542,-8.5771,9.2797,1
3.6972,-8.1504,8.9498,1
3.7315,-7.9006,8.7375,1
3.7009,-7.9772,8.7939,1
3.1834,-7.9032,8.5202,1
3.5642,-8.136,8.8825,1
3.2848,-8.3746,8.9958,1
3.1443,-8.4205,8.9884,1
2.9165,-7.8451,8.3697,1
3.4573,-8.5381,9.2115,1
2.9881,-7.8476,8.3972,1
2.818,-8.4828,8.9386,1
3.0269,-8.4493,8.9751,1
2.8685,-8.1164,8.6084,1
3.5584,-7.8942,8.6591,1
3.3289,-7.9075,8.5796,1
2.9222,-7.8606,8.3862,1
2.835,-8.3883,8.8544,1
3.4216,-8.0349,8.7331,1
3.1652,-8.6158,9.1788,1
2.6799,-8.5676,8.977,1
3.0123,-7.9549,8.5061,1
3.341,-8.7,9.3195,1
3.2207,-8.511,9.1,1
2.5793,-8.5224,8.9042,1
3.0965,-7.9148,8.499,1
2.9312,-8.7862,9.2622,1
2.4062,-8.8195,9.1418,1
2.8883,-7.9058,8.4169,1
2.3459,-8.1942,8.5234,1
2.2527,-7.9188,8.233,1
2.9391,-8.2179,8.7277,1
2.6154,-8.8257,9.2051,1
2.5903,-7.9707,8.381,1
2.2393,-8.8491,9.128,1
2.2481,-8.8021,9.0847,1
2.3824,-8.55,8.8757,1
2.5134,-8.8173,9.1685,1
2.4345,-8.0197,8.3811,1
2.15,-8.7362,8.9969,1
2.2091,-8.7929,9.0662,1
2.0101,-8.3651,8.6032,1
2.3716,-8.08,8.4209,1
2.5842,-8.4228,8.8103,1
2.0313,-8.8643,9.0941,1
1.898,-8.0522,8.2729,1
2.5464,-8.8721,9.2303,1
2.2344,-8.5841,8.8701,1
1.9542,-7.9903,8.2258,1
1.802,-7.9494,8.1511,1
2.3737,-8.3383,8.6696,1
2.6057,-8.072,8.4821,1
1.9427,-8.6145,8.8308,1
2.0566,-8.7205,8.9597,1
1.9928,-7.9889,8.2337,1
2.5369,-8.2625,8.6432,1
1.8844,-8.3003,8.5115,1
2.2381,-8.1131,8.4161,1
2.3142,-8.5415,8.8494,1
2.0698,-8.5107,8.7588,1
1.5355,-8.0838,8.2283,1
2.0363,-8.4298,8.6723,1
1.9393,-8.0653,8.2952,1
1.9275,-8.3199,8.5403,1
2.0438,-8.0216,8.2779,1
1.5163,-8.8787,9.0072,1
2.0614,-8.2509,8.5045,1
1.8924,-8.357,8.5686,1
1.8509,-8.312,8.5156,1
1.3347,-8.8299,8.9302,1
2.2204,-8.8013,9.0771,1
1.7206,-8.2275,8.4055,1
1.9811,-8.7811,9.0018,1
1.3831,-8.7076,8.8168,1
1.3025,-7.9952,8.1006,1
1.2119,-8.9529,9.0346,1
1.3714,-8.7418,8.8487,1
1.8805,-8.5821,8.7857,1
1.8632,-8.1905,8.3998,1
1.6117,-8.3655,8.5193,1
1.6361,-8.5914,8.7458,1
1.0796,-8.5328,8.6008,1
0.94312,-8.736,8.7868,1
1.397,-8.6424,8.7546,1
1.7033,-8.2731,8.4466,1
1.4709,-8.6389,8.7632,1
0.91139,-8.6601,8.7079,1
1.6118,-8.0568,8.2164,1
1.6766,-8.0142,8.1877,1
1.6976,-8.6493,8.8143,1
0.75009,-8.3813,8.4148,1
1.2804,-8.3576,8.4551,1
1.0449,-8.2959,8.3614,1
1.0266,-8.7586,8.8186,1
0.88873,-8.9448,8.9888,1
0.67523,-8.6434,8.6697,1
1.0969,-8.7652,8.8336,1
0.78259,-8.9167,8.951,1
1.3467,-8.7023,8.8059,1
0.9412,-8.7753,8.8256,1
0.63747,-8.1256,8.1506,1
1.4781,-8.5332,8.6603,1
1.2193,-8.4742,8.5615,1
1.0586,-8.4974,8.5631,1
0.57964,-8.3489,8.369,1
0.8327,-8.0825,8.1253,1
0.58212,-8.3048,8.3252,1
0.71829,-7.9986,8.0308,1
0.46131,-8.3134,8.3262,1
1.1415,-8.0755,8.1558,1
1.1206,-8.7253,8.797,1
1.112,-8.662,8.7331,1
0.34259,-8.0596,8.0669,1
0.28045,-8.6441,8.6486,1
0.62672,-8.4642,8.4874,1
1.1144,-8.6576,8.729,1
0.8289,-8.5035,8.5438,1
0.59064,-8.5426,8.563,1
0.30181,-8.6125,8.6178,1
0.71813,-8.4598,8.4902,1
0.81986,-8.797,8.8351,1
0.42395,-8.3451,8.3559,1
0.66547,-8.6493,8.6749,1
0.50764,-7.8989,7.9152,1
0.65492,-8.1987,8.2248,1
-0.058954,-8.7723,8.7725,1
0.77172,-8.6263,8.6608,1
-0.090848,-8.4728,8.4733,1
0.27021,-8.7548,8.759,1
0.44994,-8.6344,8.6461,1
0.63073,-8.2731,8.2971,1
0.69034,-8.1145,8.1438,1
0.080068,-8.0407,8.0411,1
-0.30538,-8.2808,8.2864,1
-0.11441,-8.3289,8.3297,1
-0.047369,-8.1627,8.1628,1
-0.11619,-7.914,7.9149,1
0.39047,-8.4806,8.4896,1
0.36271,-7.9926,8.0008,1
-0.28735,-8.4502,8.4551,1
0.11257,-8.7216,8.7223,1
0.23551,-8.8098,8.8129,1
0.19711,-8.3624,8.3647,1
0.28929,-8.2306,8.2357,1
-0.36051,-8.1215,8.1295,1
-0.04991,-8.3597,8.3598,1
-0.51123,-8.1044,8.1205,1
-0.16444,-7.8432,7.8449,1
-0.51846,-8.5709,8.5866,1
-0.58941,-7.9994,8.0211,1
-0.42329,-8.1072,8.1182,1
-0.44422,-7.8628,7.8753,1
-0.45285,-8.5656,8.5776,1
-0.53198,-7.8816,7.8995,1
-0.73856,-8.2632,8.2961,1
-0.14333,-8.6706,8.6718,1
0.017049,-8.6486,8.6486,1
-0.52579,-8.6743,8.6902,1
-0.41268,-8.5283,8.5383,1
-0.86889,-7.9627,8.01,1
-0.92219,-7.9125,7.9661,1
-0.0070321,-8.0392,8.0392,1
-0.37142,-8.4875,8.4956,1
-0.25159,-8.586,8.5897,1
-0.79924,-7.7369,7.7781,1
-1.0576,-8.2495,8.317,1
-0.16633,-8.2312,8.2329,1
-0.80638,-8.3688,8.4076,1
-0.34728,-8.2631,8.2704,1
-0.97808,-7.6851,7.7471,1
-0.95322,-7.7086,7.7673,1
-0.70167,-8.1177,8.148,1
-0.80288,-8.0456,8.0856,1
-0.99759,-7.9897,8.0517,1
-0.78997,-8.2259,8.2637,1
-1.2937,-8.0128,8.1166,1
-1.195,-8.5857,8.6685,1
-1.1698,-7.7027,7.791,1
-1.3511,-8.0449,8.1576,1
-1.1814,-8.0075,8.0942,1
-1.211,-8.366,8.4532,1
-0.69655,-7.9897,8.02,1
-0.76857,-7.9591,7.9961,1
-1.493,-7.5918,7.7372,1
-1.3776,-7.9743,8.0924,1
-0.93896,-8.2748,8.3279,1
-1.2309,-7.726,7.8234,1
-0.92444,-8.1375,8.1898,1
-1.4317,-7.7321,7.8635,1
-1.3929,-8.1809,8.2986,1
-0.71873,-8.0159,8.0481,1
-0.86359,-8.2006,8.2459,1
-1.716,-7.7486,7.9363,1
-1.3434,-8.1215,8.2319,1
-1.3944,-7.646,7.7721,1
-1.3239,-7.9964,8.1053,1
-1.7053,-7.6009,7.7898,1
-0.91098,-8.1925,8.243,1
-0.92202,-7.9354,7.9888,1
-1.5725,-8.1119,8.2629,1
-1.5514,-8.065,8.2129,1
-1.1941,-8.3543,8.4392,1
-1.4207,-8.0414,8.1659,1
-1.5007,-8.0538,8.1924,1
-1.7501,-8.4218,8.6017,1
-1.6436,-7.4681,7.6468,1
-1.3493,-7.568,7.6873,1
-2.1196,-7.3915,7.6894,1
-2.0689,-8.1208,8.3802,1
-1.7821,-7.8975,8.0961,1
-1.4592,-7.7052,7.8422,1
-1.6795,-7.6304,7.813,1
-1.7866,-7.9272,8.126,1
-1.8196,-7.9038,8.1105,1
-1.2921,-7.4346,7.546,1
-1.2672,-7.8806,7.9818,1
-1.6882,-7.7787,7.9598,1
-1.3805,-7.3538,7.4823,1
-2.0974,-7.4338,7.724,1
-1.9225,-7.4052,7.6507,1
-2.3367,-7.6052,7.9561,1
-2.0697,-7.9979,8.2614,1
-1.9971,-8.0293,8.2739,1
-1.7131,-7.5547,7.7465,1
-1.6381,-7.8363,8.0057,1
-1.8674,-8.2463,8.4551,1
-1.7014,-7.5384,7.728,1
-1.8503,-7.9196,8.1329,1
-1.9043,-8.0405,8.2629,1
-1.9699,-7.994,8.2331,1
-2.4844,-7.6598,8.0526,1
-1.8606,-7.5881,7.8129,1
-2.658,-8.1007,8.5256,1
-1.8867,-7.8964,8.1187,1
-1.7694,-7.3649,7.5745,1
-2.2125,-7.2281,7.5591,1
-1.9337,-7.2358,7.4897,1
-1.8529,-7.7448,7.9634,1
-1.7843,-7.3715,7.5844,1
-1.9081,-8.0384,8.2618,1
-1.946,-7.1291,7.3899,1
-2.1918,-7.5145,7.8276,1
-2.3096,-7.3641,7.7178,1
-1.9973,-7.8175,8.0686,1
-2.0283,-7.1015,7.3855,1
-2.7667,-7.0766,7.5982,1
-1.9124,-7.9381,8.1652,1
-2.2606,-7.5107,7.8435,1
-2.4597,-7.1549,7.5659,1
-2.2337,-7.6056,7.9268,1
-2.0499,-7.2277,7.5128,1
-2.6207,-7.7598,8.1904,1
-2.1488,-7.6068,7.9045,1
-2.5951,-7.1729,7.6279,1
-3.0843,-7.638,8.2372,1
-2.1947,-7.9229,8.2213,1
-2.9921,-7.8484,8.3994,1
-3.0643,-7.4909,8.0934,1
-2.8362,-7.5833,8.0963,1
-2.9259,-7.6174,8.16,1
-2.8642,-7.6596,8.1776,1
-2.3735,-7.1333,7.5178,1
-2.7207,-6.9024,7.4193,1
-2.4863,-6.8614,7.298,1
-3.0571,-7.8027,8.3802,1
-3.2364,-7.2347,7.9256,1
-3.1396,-7.7331,8.3461,1
-2.8182,-6.9936,7.5401,1
-3.0847,-6.9146,7.5715,1
-2.6293,-7.262,7.7233,1
-3.0302,-7.7528,8.3239,1
-2.7131,-6.9143,7.4275,1
-3.0297,-6.9692,7.5993,1
-3.3153,-7.3369,8.0512,1
-2.5456,-7.5904,8.0059,1
-3.4637,-7.6968,8.4403,1
-3.1733,-7.2313,7.8969,1
-3.0967,-6.7605,7.436,1
-3.1794,-7.4579,8.1073,1
-3.3409,-7.2025,7.9396,1
-3.0736,-7.1318,7.7659,1
-2.9192,-7.4277,7.9808,1
-2.9117,-7.4952,8.0409,1
-2.7401,-7.4297,7.9189,1
-2.9282,-7.0439,7.6283,1
-2.709,-6.7485,7.2719,1
-3.2881,-7.442,8.136,1
-3.4388,-7.4394,8.1957,1
-3.6507,-7.0895,7.9742,1
-3.4363,-7.3297,8.0952,1
-3.4719,-6.8243,7.6567,1
-3.2968,-7.0686,7.7996,1
-3.3385,-7.4017,8.1198,1
-3.1859,-7.2066,7.8794,1
-3.2636,-7.0968,7.8113,1
-3.7928,-7.3443,8.2658,1
-3.7886,-6.5636,7.5785,1
-3.8711,-6.6648,7.7075,1
-3.5767,-6.7087,7.6026,1
-3.2361,-7.1125,7.8141,1
-3.5585,-6.9915,7.845,1
-3.0747,-6.7249,7.3945,1
-3.6036,-6.5847,7.5063,1
-3.2201,-6.3397,7.1106,1
-3.4367,-6.7905,7.6106,1
-3.9329,-7.2497,8.2478,1
-3.6721,-7.2343,8.1129,1
-4.072,-6.4102,7.5942,1
-3.3884,-7.1118,7.8778,1
-3.2981,-6.9546,7.697,1
-4.1065,-7.0039,8.119,1
-3.5788,-6.7854,7.6713,1
-4.0352,-6.2799,7.4646,1
-3.3943,-7.0959,7.8659,1
-4.2276,-7.1739,8.3269,1
-3.7743,-6.6099,7.6116,1
-3.8462,-6.9534,7.9463,1
-3.5722,-6.6759,7.5715,1
-3.6507,-6.7902,7.7094,1
-4.312,-6.5213,7.818,1
-3.5818,-6.6481,7.5516,1
-3.6501,-6.8101,7.7266,1
-3.7525,-6.8652,7.8238,1
-4.2576,-6.2079,7.5276,1
-3.827,-6.6563,7.678,1
-3.8748,-6.7912,7.8189,1
-3.73,-6.9287,7.8689,1
-4.1234,-6.5343,7.7265,1
-3.7979,-6.0448,7.1389,1
-4.4607,-6.0221,7.4942,1
-3.7684,-6.2778,7.322,1
-4.0374,-6.068,7.2884,1
-4.5602,-6.659,8.0708,1
-4.6095,-6.1987,7.7247,1
-4.5217,-6.3836,7.8228,1
-4.2301,-5.9014,7.2609,1
-4.2861,-6.4433,7.7387,1
-3.8021,-6.2997,7.3581,1
-4.2067,-6.2473,7.5316,1
-4.2313,-6.0202,7.3584,1
-4.4633,-6.06,7.5263,1
-4.2908,-6.5528,7.8326,1
-4.3191,-6.1602,7.5235,1
-3.8241,-6.2666,7.3413,1
-4.0744,-6.3411,7.5373,1
-4.3455,-5.8927,7.3217,1
-4.1035,-6.0723,7.3288,1
-4.1402,-6.1627,7.4243,1
-4.087,-6.6399,7.7969,1
-4.7492,-6.2224,7.8277,1
-4.7082,-5.8056,7.4748,1
-4.4438,-5.7605,7.2754,1
-4.1036,-6.1014,7.353,1
-4.4097,-5.6213,7.1445,1
-4.1047,-6.0129,7.2804,1
-4.8103,-6.5758,8.1474,1
-4.0992,-6.5542,7.7305,1
-4.6539,-6.3048,7.8364,1
-5.0331,-6.4182,8.1563,1
-4.8754,-5.6633,7.4728,1
-4.9819,-5.537,7.4483,1
-4.9445,-6.1186,7.8667,1
-4.7847,-5.6923,7.4361,1
-5.1284,-6.4214,8.218,1
-4.6836,-6.3364,7.8795,1
-4.7776,-5.6553,7.4032,1
-4.6073,-6.4098,7.8938,1
-4.5647,-5.5729,7.2037,1
-4.7831,-5.5137,7.2992,1
-4.7239,-5.5362,7.2777,1
-4.354,-5.7177,7.1868,1
-4.2266,-6.1166,7.4348,1
-5.2838,-5.5565,7.6677,1
-4.5983,-5.699,7.3228,1
-4.3084,-5.773,7.2035,1
-4.4385,-5.9295,7.4067,1
-4.3971,-5.7138,7.2099,1
-4.9063,-5.8967,7.6709,1
-4.942,-5.7891,7.6116,1
-4.9247,-6.1454,7.8752,1
-5.0477,-5.6272,7.5594,1
-5.3418,-5.4254,7.6138,1
-5.3621,-5.9478,8.008,1
-4.7052,-5.2615,7.0585,1
-4.8902,-5.9985,7.7393,1
-4.9681,-5.2031,7.194,1
-4.8971,-6.0191,7.7596,1
-5.0473,-5.5046,7.4683,1
-4.6749,-5.999,7.6054,1
-4.8127,-5.6623,7.4313,1
-4.8266,-5.5965,7.3903,1
-4.9972,-5.1342,7.1646,1
-5.0725,-4.9554,7.0913,1
-4.7316,-5.2657,7.0792,1
-5.4384,-5.4339,7.6879,1
-5.0449,-5.8767,7.7451,1
-5.2606,-5.3393,7.4955,1
-5.3731,-4.9948,7.3361,1
-5.2949,-5.7567,7.8215,1
-5.1289,-5.7266,7.6876,1
-5.2259,-5.5931,7.6546,1
-4.9982,-5.145,7.1731,1
-5.6365,-5.1617,7.6429,1
-5.5023,-5.6448,7.8828,1
-5.5799,-5.5425,7.8648,1
-4.8108,-5.6011,7.3835,1
-5.6574,-5.7289,8.0515,1
-5.541,-5.1944,7.595,1
-5.3647,-5.0307,7.3545,1
-5.4667,-5.5695,7.8041,1
-4.862,-5.5242,7.3591,1
-5.4938,-5.5742,7.8265,1
-5.6467,-4.673,7.3295,1
-4.9669,-4.5808,6.7568,1
-5.1685,-5.453,7.5132,1
-5.584,-5.4125,7.7766,1
-5.8087,-5.3872,7.9223,1
-5.2259,-4.9982,7.2313,1
-5.0039,-4.8456,6.9655,1
-5.6105,-5.1274,7.6005,1
-5.2758,-5.3786,7.5341,1
-5.1242,-5.0303,7.1806,1
-5.6216,-4.6785,7.3137,1
-5.7091,-5.2828,7.7783,1
-5.2937,-4.8091,7.152,1
-5.7357,-4.7329,7.4363,1
-5.3329,-5.174,7.4303,1
-5.4984,-4.787,7.2903,1
-5.4604,-5.0245,7.4203,1
-5.7777,-5.0002,7.6409,1
-6.0421,-4.5554,7.5669,1
-5.5893,-4.4828,7.1649,1
-5.8534,-5.0274,7.716,1
-6.0392,-4.4339,7.4921,1
-6.0424,-4.8948,7.7762,1
-5.2145,-4.5266,6.9052,1
-5.4564,-4.2119,6.8929,1
-5.5622,-4.2753,7.0154,1
-6.0581,-4.1721,7.3557,1
-5.4357,-4.8293,7.2711,1
-5.6811,-4.2407,7.0893,1
-5.4391,-4.2694,6.9146,1
-5.7317,-4.977,7.591,1
-5.3411,-4.4584,6.9573,1
-5.9805,-4.8496,7.6997,1
-5.4578,-4.3031,6.9501,1
-5.7415,-4.0363,7.0183,1
-6.0494,-4.3382,7.4441,1
-5.659,-4.8237,7.4359,1
-5.6301,-4.1473,6.9927,1
-6.1334,-4.1726,7.4182,1
-5.9084,-4.7584,7.5863,1
-5.7405,-4.3663,7.2123,1
-6.2784,-4.7917,7.898,1
-5.8413,-4.3621,7.2903,1
-5.5798,-4.7496,7.3275,1
-5.7477,-4.0509,7.0318,1
-5.8438,-3.8266,6.9852,1
-5.9104,-4.4385,7.3914,1
-5.7091,-4.5377,7.2928,1
-5.553,-3.976,6.8297,1
-6.2649,-4.6584,7.807,1
-6.4442,-4.0291,7.6001,1
-6.0547,-4.2383,7.3907,1
-6.0493,-4.3302,7.4394,1
-5.9225,-4.1728,7.2449,1
-6.3745,-3.934,7.4907,1
-5.8479,-4.0894,7.1359,1
-6.0632,-4.3929,7.4873,1
-5.5354,-4.0388,6.8522,1
-6.496,-4.0232,7.641,1
-5.8651,-3.8383,7.0094,1
-5.8463,-3.5177,6.823,1
-6.1214,-3.8605,7.2371,1
-6.4815,-3.8002,7.5134,1
-6.0382,-3.8145,7.1421,1
-6.2176,-4.4191,7.628,1
-6.0145,-3.6197,7.0197,1
-6.4733,-3.8052,7.5089,1
-6.0586,-4.2216,7.3843,1
-6.3807,-4.3131,7.7017,1
-5.6756,-4.2243,7.0751,1
-5.9336,-4.1645,7.2492,1
-5.7844,-3.3037,6.6614,1
-6.4045,-3.3517,7.2285,1
-5.9088,-3.794,7.022,1
-6.5323,-4.1611,7.745,1
-6.6296,-3.3997,7.4505,1
-5.9203,-3.3502,6.8025,1
-6.5395,-3.9931,7.6622,1
-6.4158,-3.993,7.5569,1
